self_net_price_bins_1,comp_net_price_bins_1,Sale_Prob
0,0,.0369472056627274
0,1,.0599559955298901
0,2,.1138059720396996
0,3,.0970873758196831
0,4,.0792452841997147
1,0,.0198085177689791
1,1,.0346466675400734
1,2,.0732663571834564
1,3,.0860927179455757
1,4,.1017770618200302
2,0,.0110294120386243
2,1,.0248262155801058
2,2,.0411946438252926
2,3,.0672791972756386
2,4,.0763819068670273
3,0,.0064102564938366
3,1,.012522361241281
3,2,.0308893416076899
3,3,.0547361522912979
3,4,.0675996169447899
4,0,.0056818183511496
4,1,.0068119890056551
4,2,.0147420149296522
4,3,.0186915881931782
4,4,.0336772985756397
