Seller,Average,iPhone_11_64GB_Good,iPhone_12_Pro_Max_128GB_Good,iPhone_12_Pro_128GB_Good,iPhone_12_64GB_Good,iPhone_13_Pro_128GB_Good,iPhone_13_128GB_Mint,iPhone_13_128GB_Fair,iPhone_13_128GB_Good,iPhone_14_Pro_Max_128GB_Mint,iPhone_SE_2nd_Gen_64GB_Good,iPhone_SE_3rd_Gen_64GB_Good,iPhone_XR_64GB_Good
AMS Traders Inc.,595.91998,294.64999,593.21002,480.42001,365.26001,639.03998,573.70001,526.88,546.32001,953.32001,162.32001,,238.00999
GadgetPickup,526.96002,305.94,616.46002,494.91,374.67001,657.29999,584.46002,527.15997,548.39001,976.28998,166.22,281.06,226.45
SaveGadget,641.51001,299.31,583.34998,461.29999,373.17999,638.17999,581.73999,514.98999,558.64001,923.03003,,,231.83
"Certified Cell, Inc",417.60001,300.29999,,478.03,355.07001,,,,,,159.75999,,234.8
UPGRADE SOLUTION INC,159.8,,,,,,,,,,161.28999,279.32999,
