Seller,Average,iPhone_11_64GB_Good,iPhone_12_Pro_Max_128GB_Good,iPhone_12_Pro_128GB_Good,iPhone_12_64GB_Good,iPhone_13_Pro_128GB_Good,iPhone_13_128GB_Mint,iPhone_13_128GB_Fair,iPhone_13_128GB_Good,iPhone_14_Pro_Max_128GB_Mint,iPhone_SE_2nd_Gen_64GB_Good,iPhone_SE_3rd_Gen_64GB_Good,iPhone_XR_64GB_Good
AMS Traders Inc.,494.64001,295.38,519.52002,432.14999,354.04999,626,542.85999,425,500.63,961.5,135.5,,200.8
GadgetPickup,422.07999,271.23001,544.45001,437.89999,338.73999,620.90997,535.5,448.44,479.54999,995.66998,126.87,236.25,195.03
SaveGadget,502.42999,269,496.60001,417.42999,347.89001,584.44,555.12,462,520.69,,,,193.5
"Certified Cell, Inc",317.70001,276.39001,,444.5,331.79001,,,,,,133.75,,212
UPGRADE SOLUTION INC,139.94,,,,,,,,,,130.59,256.42999,
