Seller,Average,iPhone_11_64GB_Good,iPhone_12_Pro_Max_128GB_Good,iPhone_12_Pro_128GB_Good,iPhone_12_64GB_Good,iPhone_13_Pro_128GB_Good,iPhone_13_128GB_Mint,iPhone_13_128GB_Fair,iPhone_13_128GB_Good,iPhone_14_Pro_Max_128GB_Mint,iPhone_SE_2nd_Gen_64GB_Good,iPhone_SE_3rd_Gen_64GB_Good,iPhone_XR_64GB_Good
AMS Traders Inc.,559.25,289.85999,527.97998,427.42001,359.53,598.90997,545.16998,488.39001,522.90997,904.08002,138.39999,,194.85001
GadgetPickup,488.29999,274.72,548.10999,459.16,348.48999,618.39001,563.42999,473.57999,515.91998,992.47998,126.3,241.57001,195.88
SaveGadget,596.13,264.14999,503.26001,406.07999,347.73001,588.59998,550.47998,468,522.57001,859.13,,,192.35001
"Certified Cell, Inc",378.38,277.20001,,468.39001,316.73001,,,,,,144.55,,205
UPGRADE SOLUTION INC,136.2,,,,,,,,,,130.42999,257.73001,
